installation_id,lat,lon
DE_215660,51.016265,13.6530329
DE_202696,51.016265,13.6530329
DE_202616,49.2522866,6.859519
DE_202686,49.2522866,6.859519
DE_202674,52.412575669,12.533056261
DE_284,51.393581897,7.47973007
DE_278,50.3873905,7.3388191
DE_201936,50.4667,7.73333
DE_202791,48.9487272,8.8492931
DE_302,48.1805562,10.7578121
DE_303,48.1805562,10.7578121
DE_460,49.1045981,8.74558
DE_461,51.54798324,9.884230671
DE_412,51.016265,13.6530329
DE_433,52.1097603,8.9588356
DE_203873,50.6696,8.694
DE_81,52.471472631,13.790130529
DE_95,49.3491417,8.6909951
DE_94,49.8062593,9.6023753
DE_99,48.3755469,9.7341832
DE_90,51.725115849,8.695238188
DE_89,51.6395322,8.512578
DE_109,49.2071077,12.03996
DE_111,52.36075148,9.833855204
DE_88,51.8359553,8.0255988
DE_137,51.1245718,8.0568953
DE_133,47.6556421,7.565174
DE_146,50.2339271,6.6908208
DE_149,51.414451007,7.832866328
DE_147,51.2818569,7.0328063
DE_150,51.393581897,7.47973007
DE_205563,47.6556421,7.565174
DE_143,51.393581897,7.47973007
DE_151,52.0669535,9.585096
DE_148,51.3955721,8.5677743
DE_239,50.4695139,11.2588086
DE_254,51.37138245,12.748182292058097
DE_258,49.4704113,8.4381568
DE_268,50.5105578,11.1407613
DE_197,51.55868176,12.972241533
DE_227,51.8704732,10.0297839
DE_490,50.4188166,11.70143222013976
DE_229106,47.182108,9.423621
DE_202116,51.173248791,6.822919188
DE_227051,51.173248791,6.822919188
DE_202847,50.8247166,6.9810852
DE_210104,51.67499777,7.130309077
DE_205384,51.8322137,6.2428283
DE_226000,51.173248791,6.822919188
DE_202574,48.1588645,12.8329419
DE_679,52.6141259,7.8594979
DE_530,49.0621554,9.7227502
DE_551,50.9735851,13.8753917
DE_4160,52.6218894,10.246361
DE_585,50.797762016,6.482502191
DE_513,51.4002384,8.0605908
DE_618,51.289509100000004,12.00941504388248
DE_514,51.4002384,8.0605908
DE_570,50.019188663,8.224975754
DE_515,51.0426793,13.0116803
DE_206057,51.3233566,12.0242496
DE_216760,48.0556122,11.5217455
DE_207699,53.550341,10.000654
DE_202346,51.0934389,6.8416158
DE_202349,51.321848,12.010216
DE_227352,51.3020569,13.3850546
DE_202351,48.1588645,12.8329419
DE_224428,47.5605924,7.7861959
DE_3397,50.938361,6.959974
DE_3398,50.938361,6.959974
DE_2694,50.938361,6.959974
DE_96,47.6138408,12.188782
DE_135,50.7911293,6.2802702
DE_86,51.774293091,7.896680466
DE_92,49.970154129,8.304916942
DE_91,50.566093542,8.492086106
DE_1709,41.957292317,13.477036692
DE_1717,41.957292317,13.477036692
DE_958,51.3157833,9.4978479
DE_719,50.130674078,8.920344911
DE_775,50.9301118,12.0113701
DE_1752,52.0280674,8.9012894
DE_673,51.162229166,6.478577276
DE_990,52.7529379,13.2457591
DE_1623,49.2788378,7.1156707
DE_1016,52.3580209,14.064985
DE_1514,47.961187484,12.593936364
DE_1223,51.200769083,6.693593044
DE_1206,52.455605,4.657959
DE_1513,52.155341481,11.030012544
DE_1208,51.4121605,13.4473168
DE_1057,51.2835927,7.192233014
DE_2497,51.579484,9.7524477
DE_853,50.779323884,6.228148154
DE_1107,50.938361,6.959974
DE_1283,50.1106444,8.6820917
DE_1073,50.1106444,8.6820917
DE_1106,50.1106444,8.6820917
DE_1232,53.447046018,9.988267886
DE_1321,38.963144325,16.300035999
DE_1322,47.6500279,9.4800858
DE_1260,48.9341783,9.7432432
DE_457,51.160705279,13.478527788
DE_454,50.4700819,7.7956173
DE_455,51.3551242,12.7089736
DE_1438,51.6747074,8.347194
DE_1519,53.762660688,9.653220362
DE_1517,53.093853666,8.784571188
DE_1689,54.0491828,10.1769805
DE_376,51.080992,6.3160684
DE_394,50.4341326,8.6719889
DE_347,52.450228234,9.695527996
DE_452,52.1719963,12.3720603
DE_448,51.3436532,8.2859257
DE_295,48.143242,10.2540507
DE_310,49.9114995,11.4644655
DE_1453,51.460713304,14.61561892
DE_1454,51.460713304,14.61561892
DE_1231,52.2514309,13.2396499
DE_856,47.7996665,11.0655229
DE_1196,53.447046018,9.988267886
DE_1141,47.7617515,8.8348709
DE_1778,47.7617515,8.8348709
DE_205627,52.64288,10.9052337
DE_1144,52.692534433,7.283893419
DE_855,49.3260163,7.052847
DE_1184,52.451633096,13.430569213
DE_202573,51.2818569,7.0328063
DE_1420,51.383611266,7.680084853
DE_1427,51.383611266,7.680084853
DE_1768,51.383611266,7.680084853
DE_1328,49.6167,7.33333
DE_4110,51.5714513,14.3804302
DE_1460,50.5879789,11.0428809
DE_1456,51.8584667,14.4110395
DE_1459,51.5714513,14.3804302
DE_1227,52.5782258,13.5739094
DE_1131,51.082318556,12.115746242
DE_1137,51.082318556,12.115746242
DE_1133,51.082318556,12.115746242
DE_975,49.970154129,8.304916942
DE_1507,51.7895571,6.1376008
DE_1435,52.325345578,10.261346934
DE_1539,51.6747074,8.347194
DE_1105,50.938361,6.959974
DE_1045,49.907351165,10.905275487
DE_1329,49.2522866,6.859519
DE_898,51.2209866,6.9056079
DE_902,51.4400566,10.5727462
DE_1486,51.361349995,6.728556844
DE_203771,51.361349995,6.728556844
DE_1007,49.4518819,7.5543118
DE_210680,49.4518819,7.5543118
DE_1036,49.4518819,7.5543118
DE_1021,52.3715809,12.9329125
DE_1325,50.345507143,7.562369315
DE_997,48.996714201,8.343785171
DE_1672,48.996714201,8.343785171
DE_1879,49.03286545,8.449050769
DE_1219,48.2663113,13.0279972
DE_919,50.9598627,7.9896202
DE_917,50.9598627,7.9896202
DE_928,50.909894,6.814001
DE_886,50.781519662,6.459793687
DE_980,51.0654268,6.0984461
DE_984,50.704045146,7.080587783
DE_962,52.0280674,8.9012894
DE_872,52.0280674,8.9012894
DE_1014,51.3157833,9.4978479
DE_960,51.3157833,9.4978479
DE_959,51.3157833,9.4978479
DE_706,51.3157833,9.4978479
DE_1013,51.3157833,9.4978479
DE_941,47.5528548,7.6737981
DE_627,48.743015886,9.109988312
DE_647,49.563159071,11.004332501
DE_783,51.5017981,6.547923
DE_782,51.4413742,6.5467641
DE_209683,51.0934389,6.8416158
DE_202468,51.0934389,6.8416158
DE_833,51.359981503,6.635694742
DE_208944,51.0934389,6.8416158
DE_809,51.359981503,6.635694742
DE_824,51.0324743,6.9881194
DE_828,51.0324743,6.9881194
DE_800,51.0909476,6.8812387
DE_804,48.0615171,12.220026
DE_1452,49.151160938,9.229416736
DE_4142,48.769220794,9.167724033
DE_1455,48.9402085,9.256396
DE_1464,49.0126104,9.1519563
DE_1458,48.781619692,9.250920528
DE_1463,48.816134956,9.208565382
DE_1457,48.996714201,8.343785171
DE_210625,48.781619692,9.250920528
DE_1450,48.7244372,9.3807848
DE_838,49.3019864,6.7791216
DE_839,49.3019864,6.7791216
DE_205673,50.963605,6.1199802
DE_1697,50.1588179,6.3383144
DE_217380,51.67499777,7.130309077
DE_1749,51.67499777,7.130309077
DE_1702,50.8247166,6.9810852
DE_1662,50.043547273,8.237030693
DE_1591,51.8322137,6.2428283
DE_1640,52.6218894,10.246361
DE_203254,51.513288603,7.163829366
DE_215781,51.67499777,7.130309077
DE_203360,51.513288603,7.163829366
DE_906,51.457029296,7.010950296
DE_207227,51.67499777,7.130309077
DE_1686,47.5605924,7.7861959
DE_801,50.109101903,8.952185095
DE_202634,50.8247166,6.9810852
DE_1747,51.67499777,7.130309077
DE_1289,51.439623475,7.371063632
DE_1748,51.67499777,7.130309077
DE_1782,50.2811665,12.236949
DE_1800,51.6414581,6.7660319
DK_56,55.4565009,12.1818964
DK_206,55.53692225,12.169172601275331
DK_160,55.9285735,12.3063909
DK_161,55.9285735,12.3063909
DK_159,55.9285735,12.3063909
DK_162,55.9285735,12.3063909
DK_397,54.8062652,11.4301263
DK_3,56.4469128,9.4059354
DK_4,56.4469128,9.4059354
DK_5,56.4469128,9.4059354
DK_309,41.3151685,19.446591238
DK_297,55.2521101,11.2942011
DK_32,55.4894999,9.47905
DK_31,55.4894999,9.47905
DK_33,55.4894999,9.47905
DK_35,55.565268,9.7562169
DK_34,55.4894999,9.47905
DK_36,43.661833,17.756834
DK_37,43.661833,17.756834
DK_222,54.7646137,11.8709918
DK_223,54.7646137,11.8709918
DK_237,55.4993014,9.7392181
DK_29,55.457787,9.878534
DK_406,55.9285735,12.3063909
DK_232,57.4412134,10.5336225
DK_77,55.565268,9.7562169
DK_231,57.4412134,10.5336225
DK_75,55.9469339,8.4909186
DK_259,30.13775375,-94.27337870950495
DK_1,55.8832986,12.5000112
DK_210839,56.3111225,9.1706768
DK_39,54.9089186,9.7897999
DK_202197,55.642804299999995,12.55498223605706
DK_205550,57.457183,9.9855998
DK_202591,57.0405404,10.005958204695094
DK_87,55.7570833,8.9277576
DK_88,55.7570833,8.9277576
EE_208969,59.423218711,24.824698573
EE_52,59.423218711,24.824698573
EE_33,57.8385759,27.0086505
EE_8,59.392680535,27.250671714
ES_205910,41.3825802,2.177073
ES_498,41.7824664,1.7837664
ES_188,40.3671501,-1.1542609
ES_652,42.408009483,-8.668851383
ES_518,41.5398348,2.4448926
ES_30212088,38.0515024,-1.2416437
ES_311,38.9293858,-1.74318125
ES_875,40.4544298,-1.2859865
ES_1501,36.679957569,-6.146717162
ES_14515134,37.2486227,-4.5825794
ES_546,38.8208523,-0.6099929
ES_480,41.482812342,2.182897314
ES_494,41.5216923,1.7526335
ES_1013,42.302381312,-7.8706245
ES_1008,42.894003,-8.517217
ES_1007,43.1222814,-7.6228675
ES_920,38.9293858,-1.74318125
ES_90041,41.6521342,-0.8809428
ES_641,42.7390228,-8.6602504
ES_166,40.4544298,-1.2859865
ES_936,42.233743,2.2854845
ES_879,41.6521342,-0.8809428
ES_218801,40.430232299,-3.623614882
ES_994,,
ES_90025,39.456500934,-3.605308223
ES_884,43.356409523,-5.863962341
ES_1004,39.464967,-6.377459
ES_210818,39.492989,-0.4621429
ES_212702,28.1221408,-16.5766728
ES_212685,36.7213028,-4.4216366
ES_90040,41.32374034,2.09933949
ES_212440,38.2689734,-0.532169733
ES_212686,27.9984538,-15.4166761
ES_212684,39.5695818,2.6500745
ES_212801,28.4993424,-13.8599051
ES_1047,45.555648643,8.976382384
ES_1046,41.820189,12.456411
ES_90030,42.063972,-1.6053391
ES_59,10.4623021,-84.657731677
ES_721,37.971811661,-1.211040056
ES_161,41.65155182,-0.876947036
ES_400,41.4769177,1.9283971
ES_963,41.3825802,2.177073
ES_47005368,41.2870983,-4.68669
ES_897,41.2870983,-4.68669
ES_212760,42.1382539,-0.4080901
ES_167,41.800979698,0.413583283
ES_976,38.8208523,-0.6099929
ES_941,45.068978,7.564358
ES_220933,41.3825802,2.177073
ES_207862,40.7145779,0.4927561
ES_1500,43.39692310876712,-3.776017754794521
ES_651,42.408009483,-8.668851383
ES_202627,39.9621514,-0.2593846
ES_202771,40.0746619,-0.2142146
ES_202499,40.3436719,-1.1081939
ES_203222,39.6251478,-0.5952749
ES_472,41.5551874,1.6747485
ES_452,60.186643,24.024256
ES_782,43.0489646,-2.0878104
ES_793,43.1241497,-1.9791586
ES_579,39.8876912,-0.0846321
ES_388,41.3505032,1.8492996
ES_157,41.646481,-0.887553
ES_477,41.4765136,1.9832978
ES_202885,41.9137506,0.1930705
ES_202151,43.3055981,-2.9729697
ES_207505,43.309341,-3.0074501
ES_208924,43.1675342,-2.0672224
ES_525,41.355724,2.0706225
ES_594,38.988085,-0.5200428
ES_134,37.3746324,-6.9690748
ES_838,37.3653148,-4.8502348
ES_490,41.53422714285714,1.7705524285714287
ES_138,37.0942895,-3.6345792
ES_149,38.0928826,-5.8176004
ES_220,43.4027677,-5.810479
ES_289,41.5966366,-4.1215713
ES_367,40.0440004,-3.9008053
ES_368,40.0454287,-3.8354787
ES_620,38.8803632,-0.5911695
ES_617,38.8803632,-0.5911695
ES_557,60.861612,25.08987
ES_568,40.0746619,-0.2142146
ES_616,38.9117405,-0.5405452833333333
ES_358,40.013303,-3.7968786
ES_738,38.1800547,-1.1259457
ES_493,41.53422714285714,1.7705524285714287
ES_12667697,40.9692882,-0.5304939
ES_147,37.2076275,-3.633024
ES_528,39.9621514,-0.2593846
ES_604,39.22580064,-0.28906858
